alignment_name,member_end,member_start,ref_end,ref_start,sequence_id,source_name
AL_UNCONSTRAINED,747,740,859,852,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,759,749,871,861,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,777,762,889,874,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,915,779,1027,891,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,940,917,1052,1029,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,1188,941,1306,1059,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,1510,1201,9079,8770,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,1515,1512,9084,9081,REF_1f_L38350_L38371,concatenated-refseqs
AL_UNCONSTRAINED,1529,1517,9098,9086,REF_1f_L38350_L38371,concatenated-refseqs
AL_2,225,1,1042,818,REF_2n_L39309_L44602,concatenated-refseqs
AL_2,447,226,1264,1043,REF_2n_L39309_L44602,concatenated-refseqs
AL_2,485,459,8367,8341,REF_2n_L39309_L44602,concatenated-refseqs
AL_2,793,487,8675,8369,REF_2n_L39309_L44602,concatenated-refseqs
AL_2n,225,1,225,1,REF_2n_L39309_L44602,concatenated-refseqs
AL_2n,447,226,447,226,REF_2n_L39309_L44602,concatenated-refseqs
AL_2n,485,459,485,459,REF_2n_L39309_L44602,concatenated-refseqs
AL_2n,793,487,793,487,REF_2n_L39309_L44602,concatenated-refseqs
AL_UNCONSTRAINED,225,1,1052,828,REF_2n_L39309_L44602,concatenated-refseqs
AL_UNCONSTRAINED,447,226,1280,1059,REF_2n_L39309_L44602,concatenated-refseqs
AL_UNCONSTRAINED,485,459,8796,8770,REF_2n_L39309_L44602,concatenated-refseqs
AL_UNCONSTRAINED,793,487,9104,8798,REF_2n_L39309_L44602,concatenated-refseqs
AL_2,94,1,196,103,REF_2o_L38333_L38373,concatenated-refseqs
AL_2,103,95,205,197,REF_2o_L38333_L38373,concatenated-refseqs
AL_2,940,104,1042,206,REF_2o_L38333_L38373,concatenated-refseqs
AL_2,1193,941,1295,1043,REF_2o_L38333_L38373,concatenated-refseqs
AL_2,1543,1204,8680,8341,REF_2o_L38333_L38373,concatenated-refseqs
AL_2o,94,1,94,1,REF_2o_L38333_L38373,concatenated-refseqs
AL_2o,103,95,103,95,REF_2o_L38333_L38373,concatenated-refseqs
AL_2o,940,104,940,104,REF_2o_L38333_L38373,concatenated-refseqs
AL_2o,1193,941,1193,941,REF_2o_L38333_L38373,concatenated-refseqs
AL_2o,1543,1204,1543,1204,REF_2o_L38333_L38373,concatenated-refseqs
AL_UNCONSTRAINED,94,1,203,110,REF_2o_L38333_L38373,concatenated-refseqs
AL_UNCONSTRAINED,103,95,214,206,REF_2o_L38333_L38373,concatenated-refseqs
AL_UNCONSTRAINED,940,104,1052,216,REF_2o_L38333_L38373,concatenated-refseqs
AL_UNCONSTRAINED,1193,941,1311,1059,REF_2o_L38333_L38373,concatenated-refseqs
AL_UNCONSTRAINED,1543,1204,9109,8770,REF_2o_L38333_L38373,concatenated-refseqs
AL_2,225,1,1042,818,REF_2p_L39300_L44601,concatenated-refseqs
AL_2,447,226,1264,1043,REF_2p_L39300_L44601,concatenated-refseqs
AL_2,798,459,8680,8341,REF_2p_L39300_L44601,concatenated-refseqs
AL_2p,225,1,225,1,REF_2p_L39300_L44601,concatenated-refseqs
AL_2p,447,226,447,226,REF_2p_L39300_L44601,concatenated-refseqs
AL_2p,798,459,798,459,REF_2p_L39300_L44601,concatenated-refseqs
AL_UNCONSTRAINED,225,1,1052,828,REF_2p_L39300_L44601,concatenated-refseqs
AL_UNCONSTRAINED,447,226,1280,1059,REF_2p_L39300_L44601,concatenated-refseqs
AL_UNCONSTRAINED,798,459,9109,8770,REF_2p_L39300_L44601,concatenated-refseqs
AL_2,583,1,923,341,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2,753,595,1498,1340,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2,921,754,1666,1499,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2,1041,922,1786,1667,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2,1085,1042,1830,1787,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2,1410,1096,8680,8366,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2s,583,1,583,1,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2s,753,595,753,595,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2s,921,754,921,754,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2s,1041,922,1041,922,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2s,1085,1042,1085,1042,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_2s,1410,1096,1410,1096,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_UNCONSTRAINED,583,1,933,351,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_UNCONSTRAINED,753,595,1514,1356,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_UNCONSTRAINED,921,754,1688,1521,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_UNCONSTRAINED,1041,922,1811,1692,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_UNCONSTRAINED,1085,1042,1864,1821,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_UNCONSTRAINED,1410,1096,9109,8795,REF_2s_JQ924942_HM777447_HM777332,concatenated-refseqs
AL_3,115,1,195,81,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,122,116,202,196,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,123,123,204,204,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,961,125,1041,205,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1417,962,1497,1042,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1502,1418,1582,1498,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1515,1503,5097,5085,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1516,1516,5099,5099,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1517,1517,5101,5101,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1518,1518,5104,5104,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,1852,1519,8643,8310,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,3010,2198,9456,8644,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,115,1,115,1,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,122,116,122,116,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,961,123,961,123,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1417,962,1417,962,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1502,1418,1502,1418,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1515,1503,1515,1503,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1516,1516,1516,1516,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1517,1517,1517,1517,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1518,1518,1518,1518,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,1852,1519,1852,1519,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3c,3014,2198,3014,2198,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,115,1,203,89,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,122,116,212,206,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,961,123,1052,214,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1417,962,1514,1059,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1502,1418,1605,1521,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1515,1503,5367,5355,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1516,1516,5369,5369,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1517,1517,5371,5371,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1518,1518,5374,5374,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,1852,1519,9109,8776,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_UNCONSTRAINED,3014,2198,9926,9110,REF_3c_D16612_D14198_D16613,concatenated-refseqs
AL_3,115,1,195,81,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,124,116,204,196,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,962,126,1041,205,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,1418,963,1497,1042,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,1503,1419,1582,1498,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,1519,1518,1584,1583,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,1853,1520,8643,8310,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3,3011,2199,9456,8644,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,115,1,115,1,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,962,116,962,116,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,1418,963,1418,963,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,1503,1419,1503,1419,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,1519,1518,1519,1518,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,1853,1520,1853,1520,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_3f,3018,2199,3018,2199,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,115,1,203,89,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,962,116,1052,206,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,1418,963,1514,1059,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,1503,1419,1605,1521,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,1519,1518,1607,1606,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,1853,1520,9109,8776,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_UNCONSTRAINED,3018,2199,9929,9110,REF_3f_D16614_D14203_D16615,concatenated-refseqs
AL_4,113,4,770,661,REF_4e_L29589_L29590,concatenated-refseqs
AL_4,324,115,981,772,REF_4e_L29589_L29590,concatenated-refseqs
AL_4,579,325,1236,982,REF_4e_L29589_L29590,concatenated-refseqs
AL_4,930,591,8544,8205,REF_4e_L29589_L29590,concatenated-refseqs
AL_4e,113,4,113,4,REF_4e_L29589_L29590,concatenated-refseqs
AL_4e,324,115,324,115,REF_4e_L29589_L29590,concatenated-refseqs
AL_4e,579,325,579,325,REF_4e_L29589_L29590,concatenated-refseqs
AL_4e,930,591,930,591,REF_4e_L29589_L29590,concatenated-refseqs
AL_UNCONSTRAINED,113,4,841,732,REF_4e_L29589_L29590,concatenated-refseqs
AL_UNCONSTRAINED,324,115,1052,843,REF_4e_L29589_L29590,concatenated-refseqs
AL_UNCONSTRAINED,579,325,1313,1059,REF_4e_L29589_L29590,concatenated-refseqs
AL_UNCONSTRAINED,930,591,9109,8770,REF_4e_L29589_L29590,concatenated-refseqs
AL_4,324,1,981,658,REF_4h_L29610_L29611,concatenated-refseqs
AL_4,579,325,1236,982,REF_4h_L29610_L29611,concatenated-refseqs
AL_4,930,591,8544,8205,REF_4h_L29610_L29611,concatenated-refseqs
AL_4h,324,1,324,1,REF_4h_L29610_L29611,concatenated-refseqs
AL_4h,579,325,579,325,REF_4h_L29610_L29611,concatenated-refseqs
AL_4h,930,591,930,591,REF_4h_L29610_L29611,concatenated-refseqs
AL_UNCONSTRAINED,324,1,1052,729,REF_4h_L29610_L29611,concatenated-refseqs
AL_UNCONSTRAINED,579,325,1313,1059,REF_4h_L29610_L29611,concatenated-refseqs
AL_UNCONSTRAINED,930,591,9109,8770,REF_4h_L29610_L29611,concatenated-refseqs
AL_4,324,1,981,658,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,567,325,1224,982,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,602,591,8216,8205,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,612,604,8226,8218,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,654,614,8268,8228,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,661,656,8275,8270,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,866,663,8480,8277,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,926,868,8540,8482,REF_4i_L36439_L36437,concatenated-refseqs
AL_4,930,928,8544,8542,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,324,1,324,1,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,567,325,567,325,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,602,591,602,591,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,612,604,612,604,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,654,614,654,614,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,661,656,661,656,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,866,663,866,663,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,926,868,926,868,REF_4i_L36439_L36437,concatenated-refseqs
AL_4i,930,928,930,928,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,324,1,1052,729,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,567,325,1301,1059,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,602,591,8781,8770,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,612,604,8791,8783,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,654,614,8833,8793,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,661,656,8840,8835,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,866,663,9045,8842,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,926,868,9105,9047,REF_4i_L36439_L36437,concatenated-refseqs
AL_UNCONSTRAINED,930,928,9109,9107,REF_4i_L36439_L36437,concatenated-refseqs
AL_1b,2,1,6743,6742,AB008084,ncbi-curated
AL_1b,530,3,7271,6744,AB008084,ncbi-curated
AL_1b,532,531,7273,7272,AB008084,ncbi-curated
AL_1b,2,1,6743,6742,AB008085,ncbi-curated
AL_1b,530,3,7271,6744,AB008085,ncbi-curated
AL_1b,532,531,7273,7272,AB008085,ncbi-curated
AL_1b,2,1,6743,6742,AB008086,ncbi-curated
AL_1b,530,3,7271,6744,AB008086,ncbi-curated
AL_1b,532,531,7273,7272,AB008086,ncbi-curated
AL_1b,2,1,6743,6742,AB008087,ncbi-curated
AL_1b,530,3,7271,6744,AB008087,ncbi-curated
AL_1b,532,531,7273,7272,AB008087,ncbi-curated
AL_1b,2,1,6743,6742,AB008088,ncbi-curated
AL_1b,530,3,7271,6744,AB008088,ncbi-curated
AL_1b,532,531,7273,7272,AB008088,ncbi-curated
AL_1b,2,1,6743,6742,AB008090,ncbi-curated
AL_1b,530,3,7271,6744,AB008090,ncbi-curated
AL_1b,532,531,7273,7272,AB008090,ncbi-curated
AL_1b,2,1,6743,6742,AB008091,ncbi-curated
AL_1b,530,3,7271,6744,AB008091,ncbi-curated
AL_1b,530,6,7271,6747,AB008092,ncbi-curated
AL_1b,532,531,7273,7272,AB008092,ncbi-curated
AL_1b,2,1,6743,6742,AB008093,ncbi-curated
AL_1b,530,3,7271,6744,AB008093,ncbi-curated
AL_1b,532,531,7273,7272,AB008093,ncbi-curated
AL_1b,2,1,6743,6742,AB008094,ncbi-curated
AL_1b,530,3,7271,6744,AB008094,ncbi-curated
AL_1b,272,1,329,58,AB008441,ncbi-curated
AL_1b,3296,273,3353,330,AB008441,ncbi-curated
AL_1b,272,1,329,58,AB008442,ncbi-curated
AL_1b,3296,273,3353,330,AB008442,ncbi-curated
AL_1b,272,1,329,58,AB008443,ncbi-curated
AL_1b,3296,273,3353,330,AB008443,ncbi-curated
AL_1b,30,16,2468,2454,AB008444,ncbi-curated
AL_1b,915,31,3353,2469,AB008444,ncbi-curated
AL_1b,272,1,329,58,AB008445,ncbi-curated
AL_1b,3296,273,3353,330,AB008445,ncbi-curated
AL_1b,272,1,329,58,AB008446,ncbi-curated
AL_1b,3296,273,3353,330,AB008446,ncbi-curated
AL_1b,272,1,329,58,AB008447,ncbi-curated
AL_1b,3296,273,3353,330,AB008447,ncbi-curated
AL_1b,915,31,3353,2469,AB008448,ncbi-curated
AL_1b,1341,1,7586,6246,AB010249,ncbi-curated
AL_1b,1341,1,7586,6246,AB010250,ncbi-curated
AL_1b,3,3,3023,3023,AB013620,ncbi-curated
AL_1b,1089,4,4109,3024,AB013620,ncbi-curated
AL_1b,3,3,3023,3023,AB013621,ncbi-curated
AL_1b,1089,4,4109,3024,AB013621,ncbi-curated
AL_1b,3,3,3023,3023,AB013622,ncbi-curated
AL_1b,1089,4,4109,3024,AB013622,ncbi-curated
AL_1b,3,3,3023,3023,AB013623,ncbi-curated
AL_1b,1089,4,4109,3024,AB013623,ncbi-curated
AL_1b,3,3,3023,3023,AB013624,ncbi-curated
AL_1b,1089,4,4109,3024,AB013624,ncbi-curated
AL_1b,3,3,3023,3023,AB013625,ncbi-curated
AL_1b,1089,4,4109,3024,AB013625,ncbi-curated
AL_1b,3,3,3023,3023,AB013626,ncbi-curated
AL_1b,1089,4,4109,3024,AB013626,ncbi-curated
AL_1b,3,3,3023,3023,AB013627,ncbi-curated
AL_1b,1089,4,4109,3024,AB013627,ncbi-curated
AL_1b,708,4,4109,3405,AB013628,ncbi-curated
AL_1b,708,4,4109,3405,AB013629,ncbi-curated
AL_1b,708,4,4109,3405,AB013630,ncbi-curated
AL_1b,708,4,4109,3405,AB013631,ncbi-curated
AL_1b,708,4,4109,3405,AB013632,ncbi-curated
AL_1b,708,4,4109,3405,AB013633,ncbi-curated
AL_1b,708,4,4109,3405,AB013634,ncbi-curated
AL_1b,708,4,4109,3405,AB013635,ncbi-curated
AL_1b,708,4,4109,3405,AB013636,ncbi-curated
AL_1b,708,4,4109,3405,AB013637,ncbi-curated
AL_1b,708,4,4109,3405,AB013638,ncbi-curated
AL_1b,708,4,4109,3405,AB013639,ncbi-curated
AL_1b,708,4,4109,3405,AB013640,ncbi-curated
AL_1b,708,4,4109,3405,AB013641,ncbi-curated
AL_1b,708,4,4109,3405,AB013642,ncbi-curated
AL_1b,708,4,4109,3405,AB013643,ncbi-curated
AL_1b,708,4,4109,3405,AB013644,ncbi-curated
AL_1b,708,4,4109,3405,AB013645,ncbi-curated
AL_1b,708,4,4109,3405,AB013646,ncbi-curated
AL_1b,708,4,4109,3405,AB013647,ncbi-curated
AL_1b,708,4,4109,3405,AB013648,ncbi-curated
AL_1b,708,4,4109,3405,AB013649,ncbi-curated
AL_1b,708,4,4109,3405,AB013650,ncbi-curated
AL_1b,708,4,4109,3405,AB013651,ncbi-curated
AL_1b,206,14,194,2,AB016785,ncbi-curated
AL_1b,342,208,329,195,AB016785,ncbi-curated
AL_1b,1497,343,1484,330,AB016785,ncbi-curated
AL_1b,6927,1501,6911,1485,AB016785,ncbi-curated
AL_1b,9384,6934,9362,6912,AB016785,ncbi-curated
AL_1b,9434,9385,9412,9363,AB016785,ncbi-curated
AL_2b,341,1,341,1,AB030907,ncbi-curated
AL_2b,9443,342,9443,342,AB030907,ncbi-curated
AL_2b,9504,9444,9504,9444,AB030907,ncbi-curated
AL_2b,9512,9506,9511,9505,AB030907,ncbi-curated
AL_1b,1773,1,9359,7587,AB031322,ncbi-curated
AL_2k,341,1,341,1,AB031663,ncbi-curated
AL_2k,9443,342,9443,342,AB031663,ncbi-curated
AL_2k,9488,9444,9488,9444,AB031663,ncbi-curated
AL_1b,1341,1,7586,6246,AB036519,ncbi-curated
AL_1b,1341,1,7586,6246,AB036520,ncbi-curated
AL_1b,1341,1,7586,6246,AB036521,ncbi-curated
AL_1b,573,1,902,330,AB037249,ncbi-curated
AL_2a,340,1,340,1,AB047639,ncbi-curated
AL_2a,9376,341,9376,341,AB047639,ncbi-curated
AL_2a,9539,9377,9539,9377,AB047639,ncbi-curated
AL_2a,340,1,340,1,AB047640,ncbi-curated
AL_2a,9376,341,9376,341,AB047640,ncbi-curated
AL_2a,9535,9377,9535,9377,AB047640,ncbi-curated
AL_2a,340,1,340,1,AB047641,ncbi-curated
AL_2a,9376,341,9376,341,AB047641,ncbi-curated
AL_2a,9536,9377,9536,9377,AB047641,ncbi-curated
AL_2a,340,1,340,1,AB047642,ncbi-curated
AL_2a,9376,341,9376,341,AB047642,ncbi-curated
AL_2a,9546,9377,9546,9377,AB047642,ncbi-curated
AL_2a,340,1,340,1,AB047643,ncbi-curated
AL_2a,1489,341,1489,341,AB047643,ncbi-curated
AL_2a,9355,1490,9358,1493,AB047643,ncbi-curated
AL_2a,9473,9356,9476,9359,AB047643,ncbi-curated
AL_2a,9474,9474,9478,9478,AB047643,ncbi-curated
AL_2a,9505,9475,9510,9480,AB047643,ncbi-curated
AL_2a,340,1,340,1,AB047644,ncbi-curated
AL_2a,9376,341,9376,341,AB047644,ncbi-curated
AL_2a,9478,9377,9478,9377,AB047644,ncbi-curated
AL_2a,9554,9479,9557,9482,AB047644,ncbi-curated
AL_2a,340,1,340,1,AB047645,ncbi-curated
AL_2a,1501,341,1501,341,AB047645,ncbi-curated
AL_2a,9373,1502,9376,1505,AB047645,ncbi-curated
AL_2a,9552,9374,9555,9377,AB047645,ncbi-curated
AL_1b,310,1,329,20,AB049087,ncbi-curated
AL_1b,9343,311,9362,330,AB049087,ncbi-curated
AL_1b,9377,9344,9396,9363,AB049087,ncbi-curated
AL_1b,9393,9378,9413,9398,AB049087,ncbi-curated
AL_1b,341,13,329,1,AB049088,ncbi-curated
AL_1b,9374,342,9362,330,AB049088,ncbi-curated
AL_1b,9424,9375,9412,9363,AB049088,ncbi-curated
AL_1b,310,1,329,20,AB049089,ncbi-curated
AL_1b,9343,311,9362,330,AB049089,ncbi-curated
AL_1b,9393,9344,9412,9363,AB049089,ncbi-curated
AL_1b,310,1,329,20,AB049090,ncbi-curated
AL_1b,9343,311,9362,330,AB049090,ncbi-curated
AL_1b,9388,9344,9407,9363,AB049090,ncbi-curated
AL_1b,9394,9390,9412,9408,AB049090,ncbi-curated
AL_1b,259,1,329,71,AB049091,ncbi-curated
AL_1b,9292,260,9362,330,AB049091,ncbi-curated
AL_1b,9327,9293,9397,9363,AB049091,ncbi-curated
AL_1b,9343,9329,9412,9398,AB049091,ncbi-curated
AL_1b,310,1,329,20,AB049092,ncbi-curated
AL_1b,9343,311,9362,330,AB049092,ncbi-curated
AL_1b,310,1,329,20,AB049093,ncbi-curated
AL_1b,9343,311,9362,330,AB049093,ncbi-curated
AL_1b,9393,9344,9412,9363,AB049093,ncbi-curated
AL_1b,342,14,329,1,AB049094,ncbi-curated
AL_1b,1494,343,1481,330,AB049094,ncbi-curated
AL_1b,9378,1498,9362,1482,AB049094,ncbi-curated
AL_1b,9411,9379,9395,9363,AB049094,ncbi-curated
AL_1b,9427,9412,9412,9397,AB049094,ncbi-curated
AL_1b,310,1,329,20,AB049095,ncbi-curated
AL_1b,9343,311,9362,330,AB049095,ncbi-curated
AL_1b,9393,9344,9412,9363,AB049095,ncbi-curated
AL_1b,310,1,329,20,AB049096,ncbi-curated
AL_1b,9343,311,9362,330,AB049096,ncbi-curated
AL_1b,9344,9344,9363,9363,AB049096,ncbi-curated
AL_1b,310,1,329,20,AB049097,ncbi-curated
AL_1b,6964,311,6983,330,AB049097,ncbi-curated
AL_1b,9355,6977,9362,6984,AB049097,ncbi-curated
AL_1b,9401,9356,9408,9363,AB049097,ncbi-curated
AL_1b,310,1,329,20,AB049098,ncbi-curated
AL_1b,9343,311,9362,330,AB049098,ncbi-curated
AL_1b,9393,9344,9412,9363,AB049098,ncbi-curated
AL_1b,341,13,329,1,AB049099,ncbi-curated
AL_1b,2072,342,2060,330,AB049099,ncbi-curated
AL_1b,9377,2076,9362,2061,AB049099,ncbi-curated
AL_1b,9427,9378,9412,9363,AB049099,ncbi-curated
