feature_name,ref_end,ref_seq_name,ref_start,splice_index,transcription_index,translation_modifier_name
3UTR,9510,REF_2_unassigned_JF735117,9437,1,1,
3UTR,9511,REF_2b_D10988,9444,1,1,
3UTR,9512,REF_2r_JF735115,9443,1,1,
3UTR,9513,REF_2c_D50409,9455,1,1,
3UTR,9514,REF_2_unassigned_JF735116,9443,1,1,
3UTR,9520,REF_2u_JF735112,9455,1,1,
3UTR,9533,REF_6xb_JX183552,9390,1,1,
3UTR,9535,REF_4_unassigned_JF735132,9470,1,1,
3UTR,9563,REF_4_unassigned_JF735138,9380,1,1,
3UTR,9566,REF_2q_FN666428,9416,1,1,
3UTR,9579,REF_3h_JF735121,9400,1,1,
3UTR,9583,REF_3_unassigned_JF735124,9406,1,1,
3UTR,9589,REF_2a_D00944,9443,1,1,
3UTR,9589,REF_2_D00944,9443,1,1,
3UTR,9601,REF_6k_D84264,9390,1,1,
3UTR,9615,REF_2_unassigned_JF735118,9443,1,1,
3UTR,9615,REF_6d_D84263,9381,1,1,
3UTR,9616,REF_2t_KC197238,9422,1,1,
3UTR,9618,REF_2m_JF735111,9446,1,1,
3UTR,9620,REF_MASTER_NC_004102,9378,1,1,
3UTR,9621,REF_6h_D84265,9387,1,1,
3UTR,9628,REF_2_unassigned_JF735119,9453,1,1,
3UTR,9628,REF_6b_NC_009827,9403,1,1,
3UTR,9628,REF_6_NC_009827,9403,1,1,
3UTR,9633,REF_3h_JF735126,9400,1,1,
3UTR,9634,REF_3g_JF735123,9415,1,1,
3UTR,9646,REF_1a_NC_004102,9378,1,1,
3UTR,9646,REF_1_NC_004102,9378,1,1,
3UTR,9654,REF_2b_AB030907,9444,1,1,
3UTR,9660,REF_3k_JF735122,9400,1,1,
3UTR,9678,REF_2a_AB047639,9443,1,1,
3UTR,9825,REF_2e_JF735120,9659,1,1,
5UTR,65,REF_6w_EU643834,1,1,1,
5UTR,65,REF_6w_EU643836,1,1,1,
5UTR,130,REF_4g_JX227971,1,1,1,
5UTR,145,REF_1a_EF407457,1,1,1,
5UTR,190,REF_1a_HQ850279,1,1,1,
5UTR,190,REF_4w_FJ025855,1,1,1,
5UTR,190,REF_4w_FJ025856,1,1,1,
5UTR,190,REF_4_unassigned_FJ025854,1,1,1,
5UTR,226,REF_4k_EU392171,1,1,1,
5UTR,226,REF_4v_JX227960,1,1,1,
5UTR,234,REF_4d_DQ418786,1,1,1,
5UTR,235,REF_1_unassigned_HQ537007,1,1,1,
5UTR,246,REF_5a_AF064490,1,1,1,
5UTR,248,REF_4o_JX227977,1,1,1,
5UTR,255,REF_2c_JX227949,1,1,1,
5UTR,256,REF_4v_HQ537008,1,1,1,
5UTR,256,REF_4v_HQ537009,1,1,1,
5UTR,259,REF_4a_DQ988074,1,1,1,
5UTR,260,REF_2j_HM777358,1,1,1,
5UTR,260,REF_2j_HM777359,1,1,1,
5UTR,260,REF_4l_JX227957,1,1,1,
5UTR,261,REF_4a_DQ418789,1,1,1,
5UTR,261,REF_4f_EU392175,1,1,1,
5UTR,262,REF_2k_JX227953,1,1,1,
5UTR,262,REF_4d_EU392172,1,1,1,
5UTR,262,REF_4f_EU392174,1,1,1,
5UTR,262,REF_4n_JX227970,1,1,1,
5UTR,262,REF_4r_JX227976,1,1,1,
5UTR,263,REF_2m_JX227967,1,1,1,
5UTR,263,REF_4g_JX227963,1,1,1,
5UTR,263,REF_4k_EU392173,1,1,1,
5UTR,263,REF_4m_JX227972,1,1,1,
5UTR,264,REF_3g_JX227954,1,1,1,
5UTR,265,REF_3i_JX227955,1,1,1,
5UTR,273,REF_4v_JX227959,1,1,1,
5UTR,274,REF_4f_EF589161,1,1,1,
5UTR,274,REF_4_unassigned_JX227964,1,1,1,
5UTR,276,REF_2a_HQ639944,1,1,1,
5UTR,279,REF_4a_NC_009825,1,1,1,
5UTR,279,REF_4_NC_009825,1,1,1,
5UTR,279,REF_5a_NC_009826,1,1,1,
5UTR,279,REF_5_NC_009826,1,1,1,
5UTR,279,REF_6a_HQ639936,1,1,1,
5UTR,283,REF_6a_Y12083,1,1,1,
5UTR,295,REF_6a_AY859526,1,1,1,
5UTR,298,REF_3a_X76918,1,1,1,
5UTR,304,REF_1b_EU781828,1,1,1,
5UTR,307,REF_6v_EU158186,1,1,1,
5UTR,307,REF_6v_EU798761,1,1,1,
5UTR,307,REF_6xa_EU408330,1,1,1,
5UTR,307,REF_6xa_EU408331,1,1,1,
5UTR,307,REF_6xa_EU408332,1,1,1,
5UTR,313,REF_1g_AM910652,1,1,1,
5UTR,313,REF_2i_DQ155561,1,1,1,
5UTR,313,REF_2l_KC197235,1,1,1,
5UTR,313,REF_2l_KC197240,1,1,1,
5UTR,313,REF_2q_FN666428,1,1,1,
5UTR,313,REF_2q_FN666429,1,1,1,
5UTR,313,REF_2t_KC197238,1,1,1,
5UTR,313,REF_2_unassigned_KC197236,1,1,1,
5UTR,313,REF_2_unassigned_KC197237,1,1,1,
5UTR,313,REF_2_unassigned_KC197239,1,1,1,
5UTR,313,REF_6e_EU246931,1,1,1,
5UTR,313,REF_6e_EU246932,1,1,1,
5UTR,313,REF_6f_EU246936,1,1,1,
5UTR,313,REF_6n_EU246938,1,1,1,
5UTR,313,REF_6o_EU246934,1,1,1,
5UTR,313,REF_6t_EU246939,1,1,1,
5UTR,313,REF_6u_EU246940,1,1,1,
5UTR,314,REF_1_unassigned_AJ851228,1,1,1,
5UTR,314,REF_3b_JQ065709,1,1,1,
5UTR,315,REF_1b_EU781827,1,1,1,
5UTR,316,REF_6a_EU246930,1,1,1,
5UTR,324,REF_6t_EF632071,1,1,1,
5UTR,329,REF_1b_D90208,1,1,1,
5UTR,332,REF_1b_M58335,1,1,1,
5UTR,338,REF_6d_D84263,1,1,1,
5UTR,338,REF_6e_DQ314805,1,1,1,
5UTR,338,REF_6f_DQ835760,1,1,1,
5UTR,338,REF_6g_D63822,1,1,1,
5UTR,338,REF_6g_DQ314806,1,1,1,
5UTR,338,REF_6h_D84265,1,1,1,
5UTR,338,REF_6i_DQ835762,1,1,1,
5UTR,338,REF_6i_DQ835770,1,1,1,
5UTR,338,REF_6j_DQ835761,1,1,1,
5UTR,338,REF_6j_DQ835769,1,1,1,
5UTR,338,REF_6k_D84264,1,1,1,
5UTR,338,REF_6l_EF424628,1,1,1,
5UTR,338,REF_6l_JX183556,1,1,1,
5UTR,338,REF_6m_DQ835766,1,1,1,
5UTR,338,REF_6m_DQ835767,1,1,1,
5UTR,338,REF_6n_DQ835768,1,1,1,
5UTR,338,REF_6o_EF424627,1,1,1,
5UTR,338,REF_6r_EU408328,1,1,1,
5UTR,338,REF_6s_EU408329,1,1,1,
5UTR,338,REF_6v_EU798760,1,1,1,
5UTR,338,REF_6xb_JX183552,1,1,1,
5UTR,338,REF_6xb_KJ567645,1,1,1,
5UTR,338,REF_6xc_KJ567651,1,1,1,
5UTR,338,REF_6xe_JX183557,1,1,1,
5UTR,338,REF_6xe_KM252792,1,1,1,
5UTR,338,REF_6_unassigned_JX183549,1,1,1,
5UTR,338,REF_6_unassigned_JX183550,1,1,1,
5UTR,338,REF_6_unassigned_JX183551,1,1,1,
5UTR,338,REF_6_unassigned_JX183553,1,1,1,
5UTR,338,REF_6_unassigned_JX183554,1,1,1,
5UTR,338,REF_6_unassigned_JX183558,1,1,1,
5UTR,338,REF_6_unassigned_KC844039,1,1,1,
5UTR,338,REF_6_unassigned_KC844040,1,1,1,
5UTR,339,REF_3a_D28917,1,1,1,
5UTR,339,REF_3a_NC_009824,1,1,1,
5UTR,339,REF_3b_D49374,1,1,1,
5UTR,339,REF_3e_KJ470618,1,1,1,
5UTR,339,REF_3g_JF735123,1,1,1,
5UTR,339,REF_3h_JF735121,1,1,1,
5UTR,339,REF_3h_JF735126,1,1,1,
5UTR,339,REF_3k_D63821,1,1,1,
5UTR,339,REF_3k_JF735122,1,1,1,
5UTR,339,REF_3_NC_009824,1,1,1,
5UTR,339,REF_3_unassigned_JF735124,1,1,1,
5UTR,339,REF_6c_EF424629,1,1,1,
5UTR,339,REF_6p_EF424626,1,1,1,
5UTR,339,REF_6q_EF424625,1,1,1,
5UTR,339,REF_6w_DQ278892,1,1,1,
5UTR,339,REF_6_unassigned_KJ470622,1,1,1,
5UTR,339,REF_6_unassigned_KJ470623,1,1,1,
5UTR,339,REF_6_unassigned_KJ470625,1,1,1,
5UTR,339,REF_7a_NC_030791,1,1,1,
5UTR,339,REF_7_NC_030791,1,1,1,
5UTR,340,REF_1e_KC248194,1,1,1,
5UTR,340,REF_2a_AB047639,1,1,1,
5UTR,340,REF_2a_D00944,1,1,1,
5UTR,340,REF_2c_D50409,1,1,1,
5UTR,340,REF_2d_JF735114,1,1,1,
5UTR,340,REF_2e_JF735120,1,1,1,
5UTR,340,REF_2f_KC844042,1,1,1,
5UTR,340,REF_2f_KC844050,1,1,1,
5UTR,340,REF_2j_JF735113,1,1,1,
5UTR,340,REF_2m_JF735111,1,1,1,
5UTR,340,REF_2r_JF735115,1,1,1,
5UTR,340,REF_2u_JF735112,1,1,1,
5UTR,340,REF_2_D00944,1,1,1,
5UTR,340,REF_2_unassigned_JF735110,1,1,1,
5UTR,340,REF_2_unassigned_JF735116,1,1,1,
5UTR,340,REF_2_unassigned_JF735117,1,1,1,
5UTR,340,REF_2_unassigned_JF735118,1,1,1,
5UTR,340,REF_3d_KJ470619,1,1,1,
5UTR,340,REF_3i_FJ407092,1,1,1,
5UTR,340,REF_4b_FJ462435,1,1,1,
5UTR,340,REF_4c_FJ462436,1,1,1,
5UTR,340,REF_4d_FJ462437,1,1,1,
5UTR,340,REF_4l_FJ839870,1,1,1,
5UTR,340,REF_4n_FJ462441,1,1,1,
5UTR,340,REF_4p_FJ462431,1,1,1,
5UTR,340,REF_4r_FJ462439,1,1,1,
5UTR,340,REF_4t_FJ839869,1,1,1,
5UTR,340,REF_4_unassigned_JF735127,1,1,1,
5UTR,340,REF_4_unassigned_JF735129,1,1,1,
5UTR,340,REF_4_unassigned_JF735130,1,1,1,
5UTR,340,REF_4_unassigned_JF735132,1,1,1,
5UTR,340,REF_4_unassigned_JF735134,1,1,1,
5UTR,340,REF_4_unassigned_JF735135,1,1,1,
5UTR,340,REF_4_unassigned_JF735138,1,1,1,
5UTR,340,REF_6_unassigned_DQ278891,1,1,1,
5UTR,340,REF_6_unassigned_KJ470620,1,1,1,
5UTR,340,REF_6_unassigned_KJ470621,1,1,1,
5UTR,340,REF_6_unassigned_KJ470624,1,1,1,
5UTR,341,REF_1a_M62321,1,1,1,
5UTR,341,REF_1a_M67463,1,1,1,
5UTR,341,REF_1a_NC_004102,1,1,1,
5UTR,341,REF_1c_AY051292,1,1,1,
5UTR,341,REF_1c_AY651061,1,1,1,
5UTR,341,REF_1c_D14853,1,1,1,
5UTR,341,REF_1d_KJ439768,1,1,1,
5UTR,341,REF_1h_KC248198,1,1,1,
5UTR,341,REF_1h_KC248199,1,1,1,
5UTR,341,REF_1i_KJ439772,1,1,1,
5UTR,341,REF_1j_KJ439773,1,1,1,
5UTR,341,REF_1k_KJ439774,1,1,1,
5UTR,341,REF_1m_KJ439778,1,1,1,
5UTR,341,REF_1m_KJ439782,1,1,1,
5UTR,341,REF_1n_KJ439775,1,1,1,
5UTR,341,REF_1_NC_004102,1,1,1,
5UTR,341,REF_1_unassigned_KC248195,1,1,1,
5UTR,341,REF_1_unassigned_KJ439777,1,1,1,
5UTR,341,REF_1_unassigned_KJ439780,1,1,1,
5UTR,341,REF_2b_AB030907,1,1,1,
5UTR,341,REF_2b_D10988,1,1,1,
5UTR,341,REF_2k_AB031663,1,1,1,
5UTR,341,REF_2_unassigned_JF735119,1,1,1,
5UTR,341,REF_4g_FJ462432,1,1,1,
5UTR,341,REF_4k_FJ462438,1,1,1,
5UTR,341,REF_4m_FJ462433,1,1,1,
5UTR,341,REF_4o_FJ462440,1,1,1,
5UTR,341,REF_4q_FJ462434,1,1,1,
5UTR,341,REF_4s_JF735136,1,1,1,
5UTR,341,REF_4_unassigned_JF735131,1,1,1,
5UTR,341,REF_6xd_KM252789,1,1,1,
5UTR,341,REF_6xd_KM252790,1,1,1,
5UTR,341,REF_6xd_KM252791,1,1,1,
5UTR,341,REF_6_unassigned_DQ278893,1,1,1,
5UTR,341,REF_MASTER_NC_004102,1,1,1,
5UTR,342,REF_1l_KC248193,1,1,1,
5UTR,342,REF_1l_KC248196,1,1,1,
5UTR,342,REF_1l_KC248197,1,1,1,
5UTR,342,REF_1n_KJ439781,1,1,1,
5UTR,342,REF_1_unassigned_KJ439776,1,1,1,
5UTR,342,REF_1_unassigned_KJ439779,1,1,1,
5UTR,342,REF_6b_NC_009827,1,1,1,
5UTR,342,REF_6n_DQ278894,1,1,1,
5UTR,342,REF_6_NC_009827,1,1,1,
5UTR,343,REF_3a_JN714194,1,1,1,
Core,96,REF_2n_L39309_L44602,1,1,1,
Core,96,REF_2p_L39300_L44601,1,1,1,
Core,111,REF_4e_L29589_L29590,4,1,1,
Core,195,REF_4e_L29589_L29590,115,1,1,
Core,195,REF_4h_L29610_L29611,1,1,1,
Core,195,REF_4i_L36439_L36437,1,1,1,
Core,573,REF_2b_AB661382,1,1,1,
Core,573,REF_2b_AB661388,1,1,1,
Core,573,REF_2s_JQ924942_HM777447_HM777332,1,1,1,
Core,638,REF_6w_EU643834,66,1,1,
Core,638,REF_6w_EU643836,66,1,1,
Core,691,REF_1f_L38350_L38371,239,1,1,
Core,703,REF_4g_JX227971,131,1,1,
Core,712,REF_1f_L38350_L38371,695,1,1,
Core,718,REF_1a_EF407457,146,1,1,
Core,724,REF_1f_L38350_L38371,716,1,1,
Core,745,REF_1f_L38350_L38371,740,1,1,
Core,757,REF_1f_L38350_L38371,749,1,1,
Core,763,REF_1a_HQ850279,191,1,1,
Core,763,REF_4w_FJ025855,191,1,1,
Core,763,REF_4w_FJ025856,191,1,1,
Core,763,REF_4_unassigned_FJ025854,191,1,1,
Core,775,REF_1f_L38350_L38371,764,1,1,
Core,799,REF_4k_EU392171,227,1,1,
Core,799,REF_4v_JX227960,227,1,1,
Core,807,REF_4d_DQ418786,235,1,1,
Core,808,REF_1_unassigned_HQ537007,236,1,1,
Core,811,REF_1f_L38350_L38371,779,1,1,
Core,811,REF_2o_L38333_L38373,239,1,1,
Core,819,REF_5a_AF064490,247,1,1,
Core,821,REF_4o_JX227977,249,1,1,
Core,828,REF_2c_JX227949,256,1,1,
Core,829,REF_4v_HQ537008,257,1,1,
Core,829,REF_4v_HQ537009,257,1,1,
Core,832,REF_3c_D16612_D14198_D16613,260,1,1,
Core,832,REF_4a_DQ988074,260,1,1,
Core,833,REF_2j_HM777358,261,1,1,
Core,833,REF_2j_HM777359,261,1,1,
Core,833,REF_3f_D16614_D14203_D16615,261,1,1,
Core,833,REF_4l_JX227957,261,1,1,
Core,834,REF_4a_DQ418789,262,1,1,
Core,834,REF_4f_EU392175,262,1,1,
Core,835,REF_2k_JX227953,263,1,1,
Core,835,REF_4d_EU392172,263,1,1,
Core,835,REF_4f_EU392174,263,1,1,
Core,835,REF_4n_JX227970,263,1,1,
Core,835,REF_4r_JX227976,263,1,1,
Core,836,REF_2m_JX227967,264,1,1,
Core,836,REF_4g_JX227963,264,1,1,
Core,836,REF_4k_EU392173,264,1,1,
Core,836,REF_4m_JX227972,264,1,1,
Core,837,REF_3g_JX227954,265,1,1,
Core,838,REF_3i_JX227955,266,1,1,
Core,846,REF_4v_JX227959,274,1,1,
Core,847,REF_4f_EF589161,275,1,1,
Core,847,REF_4_unassigned_JX227964,275,1,1,
Core,849,REF_2a_HQ639944,277,1,1,
Core,852,REF_4a_NC_009825,280,1,1,
Core,852,REF_4_NC_009825,280,1,1,
Core,852,REF_5a_NC_009826,280,1,1,
Core,852,REF_5_NC_009826,280,1,1,
Core,852,REF_6a_HQ639936,280,1,1,
Core,856,REF_6a_Y12083,284,1,1,
Core,868,REF_6a_AY859526,296,1,1,
Core,871,REF_3a_X76918,299,1,1,
Core,877,REF_1b_EU781828,305,1,1,
Core,880,REF_6v_EU158186,308,1,1,
Core,880,REF_6v_EU798761,308,1,1,
Core,880,REF_6xa_EU408330,308,1,1,
Core,880,REF_6xa_EU408331,308,1,1,
Core,880,REF_6xa_EU408332,308,1,1,
Core,886,REF_1g_AM910652,314,1,1,
Core,886,REF_2i_DQ155561,314,1,1,
Core,886,REF_2l_KC197235,314,1,1,
Core,886,REF_2l_KC197240,314,1,1,
Core,886,REF_2q_FN666428,314,1,1,
Core,886,REF_2q_FN666429,314,1,1,
Core,886,REF_2t_KC197238,314,1,1,
Core,886,REF_2_unassigned_KC197236,314,1,1,
Core,886,REF_2_unassigned_KC197237,314,1,1,
Core,886,REF_2_unassigned_KC197239,314,1,1,
Core,886,REF_6e_EU246931,314,1,1,
Core,886,REF_6e_EU246932,314,1,1,
Core,886,REF_6f_EU246936,314,1,1,
Core,886,REF_6n_EU246938,314,1,1,
Core,886,REF_6o_EU246934,314,1,1,
Core,886,REF_6t_EU246939,314,1,1,
Core,886,REF_6u_EU246940,314,1,1,
Core,887,REF_1_unassigned_AJ851228,315,1,1,
Core,887,REF_3b_JQ065709,315,1,1,
Core,888,REF_1b_EU781827,316,1,1,
Core,889,REF_6a_EU246930,317,1,1,
Core,897,REF_6t_EF632071,325,1,1,
Core,902,REF_1b_D90208,330,1,1,
Core,905,REF_1b_M58335,333,1,1,
Core,911,REF_6d_D84263,339,1,1,
Core,911,REF_6e_DQ314805,339,1,1,
Core,911,REF_6f_DQ835760,339,1,1,
Core,911,REF_6g_D63822,339,1,1,
Core,911,REF_6g_DQ314806,339,1,1,
Core,911,REF_6h_D84265,339,1,1,
Core,911,REF_6i_DQ835762,339,1,1,
Core,911,REF_6i_DQ835770,339,1,1,
Core,911,REF_6j_DQ835761,339,1,1,
Core,911,REF_6j_DQ835769,339,1,1,
Core,911,REF_6k_D84264,339,1,1,
Core,911,REF_6l_EF424628,339,1,1,
Core,911,REF_6l_JX183556,339,1,1,
Core,911,REF_6m_DQ835766,339,1,1,
Core,911,REF_6m_DQ835767,339,1,1,
Core,911,REF_6n_DQ835768,339,1,1,
Core,911,REF_6o_EF424627,339,1,1,
Core,911,REF_6r_EU408328,339,1,1,
Core,911,REF_6s_EU408329,339,1,1,
Core,911,REF_6v_EU798760,339,1,1,
Core,911,REF_6xb_JX183552,339,1,1,
Core,911,REF_6xb_KJ567645,339,1,1,
Core,911,REF_6xc_KJ567651,339,1,1,
Core,911,REF_6xe_JX183557,339,1,1,
Core,911,REF_6xe_KM252792,339,1,1,
Core,911,REF_6_unassigned_JX183549,339,1,1,
Core,911,REF_6_unassigned_JX183550,339,1,1,
Core,911,REF_6_unassigned_JX183551,339,1,1,
Core,911,REF_6_unassigned_JX183553,339,1,1,
Core,911,REF_6_unassigned_JX183554,339,1,1,
Core,911,REF_6_unassigned_JX183558,339,1,1,
Core,911,REF_6_unassigned_KC844039,339,1,1,
Core,911,REF_6_unassigned_KC844040,339,1,1,
Core,912,REF_3a_D28917,340,1,1,
Core,912,REF_3a_NC_009824,340,1,1,
Core,912,REF_3b_D49374,340,1,1,
